Item_Code,Item_Name,Section,Drawer,Book_Qty
10101,رولمان بلي 6204-2RS,قسم 1,درج 1,20
10102,رولمان بلي 6205-ZZ,قسم 1,درج 1,15
10103,رولمان بلي 6306-2RS,قسم 1,درج 2,8
10104,أويل سيل 25x47x7 FKM,قسم 1,درج 3,45
10105,أويل سيل 30x52x8 NBR,قسم 1,درج 3,30
10106,تيلة داخلية 47 مم DIN 472,قسم 1,درج 4,100
10107,تيلة خارجية 25 مم DIN 471,قسم 1,درج 4,120
10201,حساس تقاربي أسطواني M12 NPN,قسم 2,درج 1,12
10202,حساس تقاربي أسطواني M18 PNP,قسم 2,درج 1,10
10203,إنكودر دوار 1024 نبضة 24V,قسم 2,درج 2,4
10204,ريلاي Finder 24VDC 8 Pin,قسم 2,درج 3,25
10205,قاعدة ريلاي Finder 8 Pin,قسم 2,درج 3,25
10206,فيوز سيراميك 5x20 2A بطيء,قسم 2,درج 4,150
10207,قاطع شنايدر 10A أحادي C60,قسم 2,درج 5,8
10401,سير ناقل توقيت T10 طول 600,قسم 4,درج 1,6
10402,سير V-Belt A-48 مسنن,قسم 4,درج 2,14
10403,بستم هواء Festo DNC-40-100,قسم 4,درج 3,3
10404,صمام هواء كهربائي 5/2 24VDC,قسم 4,درج 4,7
10405,فيتنج هواء سريع G1/4 خرطوم 8,قسم 4,درج 5,80
10406,مانومتر ضغط 0-10 بار عمودي,قسم 4,درج 6,5
10501,سخان خرطوشي 220V 500W طول 150,قسم 5,درج 1,18
10502,ترموستات حرارة PT100 M6,قسم 5,درج 2,9
10503,كونتاكتور سيمنز 12A بوبا 220V,قسم 5,درج 3,6
10504,أوفرلود حراري سيمنز 7-10A,قسم 5,درج 3,4
10505,زرار طوارئ غاطس مع إضاءة 24V,قسم 5,درج 4,12
